Idx	Ratio	Train	Val	Name
1	0.0	0	0	person
2	0.0	0	0	bicycle
3	0.0	0	0	car
4	0.0	0	0	motorcycle
5	0.0	0	0	airplane
6	0.0	0	0	bus
7	0.0	0	0	train
8	0.0	0	0	truck
9	0.0	0	0	boat
10	0.0	0	0	traffic light
11	0.0	0	0	fire hydrant
13	0.0	0	0	stop sign
14	0.0	0	0	parking meter
15	0.0	0	0	bench
16	0.0	0	0	bird
17	0.0	0	0	cat
18	0.0	0	0	dog
19	0.0	0	0	horse
20	0.0	0	0	sheep
21	0.0	0	0	cow
22	0.0	0	0	elephant
23	0.0	0	0	bear
24	0.0	0	0	zebra
25	0.0	0	0	giraffe
27	0.0	0	0	backpack
28	0.0	0	0	umbrella
31	0.0	0	0	handbag
32	0.0	0	0	tie
33	0.0	0	0	suitcase
34	0.0	0	0	frisbee
35	0.0	0	0	skis
36	0.0	0	0	snowboard
37	0.0	0	0	sports ball
38	0.0	0	0	kite
39	0.0	0	0	baseball bat
40	0.0	0	0	baseball glove
41	0.0	0	0	skateboard
42	0.0	0	0	surfboard
43	0.0	0	0	tennis racket
44	0.0	0	0	bottle
46	0.0	0	0	wine glass
47	0.0	0	0	cup
48	0.0	0	0	fork
49	0.0	0	0	knife
50	0.0	0	0	spoon
51	0.0	0	0	bowl
52	0.0	0	0	banana
53	0.0	0	0	apple
54	0.0	0	0	sandwich
55	0.0	0	0	orange
56	0.0	0	0	broccoli
57	0.0	0	0	carrot
58	0.0	0	0	hot dog
59	0.0	0	0	pizza
60	0.0	0	0	donut
61	0.0	0	0	cake
62	0.0	0	0	chair
63	0.0	0	0	couch
64	0.0	0	0	potted plant
65	0.0	0	0	bed
67	0.0	0	0	dining table
70	0.0	0	0	toilet
72	0.0	0	0	tv
73	0.0	0	0	laptop
74	0.0	0	0	mouse
75	0.0	0	0	remote
76	0.0	0	0	keyboard
77	0.0	0	0	cell phone
78	0.0	0	0	microwave
79	0.0	0	0	oven
80	0.0	0	0	toaster
81	0.0	0	0	sink
82	0.0	0	0	refrigerator
84	0.0	0	0	book
85	0.0	0	0	clock
86	0.0	0	0	vase
87	0.0	0	0	scissors
88	0.0	0	0	teddy bear
89	0.0	0	0	hair drier
90	0.0	0	0	toothbrush
92	0.0	0	0	banner
93	0.0	0	0	blanket
95	0.0	0	0	bridge
100	0.0	0	0	cardboard
107	0.0	0	0	counter
109	0.0	0	0	curtain
112	0.0	0	0	door-stuff
118	0.0	0	0	floor-wood
119	0.0	0	0	flower
122	0.0	0	0	fruit
125	0.0	0	0	gravel
128	0.0	0	0	house
130	0.0	0	0	light
133	0.0	0	0	mirror-stuff
138	0.0	0	0	net
141	0.0	0	0	pillow
144	0.0	0	0	platform
145	0.0	0	0	playingfield
147	0.0	0	0	railroad
148	0.0	0	0	river
149	0.0	0	0	road
151	0.0	0	0	roof
154	0.0	0	0	sand
155	0.0	0	0	sea
156	0.0	0	0	shelf
159	0.0	0	0	snow
161	0.0	0	0	stairs
166	0.0	0	0	tent
168	0.0	0	0	towel
171	0.0	0	0	wall-brick
175	0.0	0	0	wall-stone
176	0.0	0	0	wall-tile
177	0.0	0	0	wall-wood
178	0.0	0	0	water-other
180	0.0	0	0	window-blind
181	0.0	0	0	window-other
184	0.0	0	0	tree-merged
185	0.0	0	0	fence-merged
186	0.0	0	0	ceiling-merged
187	0.0	0	0	sky-other-merged
188	0.0	0	0	cabinet-merged
189	0.0	0	0	table-merged
190	0.0	0	0	floor-other-merged
191	0.0	0	0	pavement-merged
192	0.0	0	0	mountain-merged
193	0.0	0	0	grass-merged
194	0.0	0	0	dirt-merged
195	0.0	0	0	paper-merged
196	0.0	0	0	food-other-merged
197	0.0	0	0	building-other-merged
198	0.0	0	0	rock-merged
199	0.0	0	0	wall-other-merged
200	0.0	0	0	rug-merged
